Country,earnings,Life_expectancy,Life_satisfaction
Australia,52063,82.5,7.3
Austria,48295,81.3,7
Belgium,49587,81.1,6.9
Canada,48403,81.5,7.3
Chile,28434,79.1,6.7
Czech Republic,23722,78.7,6.6
Denmark,52580,80.8,7.5
Estonia,23621,77.7,5.6
Finland,42127,81.6,7.5
France,42992,82.4,6.4
Germany,46389,80.7,7
Greece,25124,81.1,5.2
Iceland,55984,82.5,7.5
Ireland,51681,81.5,7
Israel,34023,82.1,7.2
Italy,35397,82.6,5.9
Japan,39113,83.9,5.9
South Korea,32399,82.1,5.9
Latvia,22389,74.6,5.9
Luxembourg,62636,82.4,6.9
Mexico,15311,75,6.6
Netherlands,52833,81.6,7.4
New Zealand,39397,81.7,7.3
Norway,53643,82.4,7.5
Poland,25921,77.6,6
Portugal,24529,81.2,5.2
Slovak Republic,23508,76.7,6.1
Slovenia,34965,80.9,5.8
Spain,37333,83,6.4
Sweden,42816,82.3,7.3
Switzerland,60124,83,7.5
Turkey,22848,78,5.5
United Kingdom,42835,81,6.7
USA,60154,78.8,6.9
OECD - Total,44290,80.1,6.5
Brazil,14024,74.7,6.6
Russia,22101,71.3,6
South Africa,11554,57.4,4.8
